,Tm
4979,HBB31446.1
4980,OKH42890.1
4981,WP_191133748.1
4982,WP_190441970.1
4983,WP_190680598.1
4984,WP_206787461.1
4985,MBD1836986.1
4986,MBW4470537.1
4987,WP_120591537.1
4988,WP_191132049.1
4989,WP_190817145.1
4990,WP_120618820.1
4991,MBD1942595.1
4992,NOJ93867.1
4993,WP_190342950.1
4994,MCW3061978.1
4995,MBD1834937.1
4996,WP_096564106.1
4997,WP_190507656.1
4998,NJK52250.1
4999,WP_224346373.1
5000,RYG69066.1
5001,MBW4457169.1
5002,WP_265276549.1
5003,MBW4428589.1
5004,WP_170033748.1
5005,MBW4503900.1
5006,TAH34314.1
5007,WP_132614970.1
5008,WP_206984303.1
5009,WP_136924693.1
5010,WP_020472864.1
5011,MDB5326964.1
5012,KYG05028.1
5013,WP_119322491.1
5014,WP_185888521.1
5015,WP_129575538.1
5016,MDD5063810.1
5017,KYF99244.1
5018,MBS1853326.1
5019,WP_020735695.1
5020,WP_104985555.1
5021,WP_088844546.1
5022,MDB5331301.1
5023,WP_135530033.1
5024,WP_135430715.1
5025,WP_040550453.1
5026,MBY0515082.1
5027,WP_139925394.1
5028,RYX85037.1
5029,BCM89696.1
5030,PYM75885.1
5031,WP_165220658.1
5032,MBI3817898.1
5033,MBV9768291.1
5034,WP_242017731.1
5035,WP_210655480.1
5036,MBN9527848.1
5037,WP_155702464.1
5038,WP_130801531.1
5039,WP_285833359.1
5040,WP_233138024.1
5041,WP_220324046.1
5042,WP_212023587.1
5043,WP_063682418.1
5044,WP_185999226.1
5045,WP_079730440.1
5046,WP_207080373.1
5047,WP_142969211.1
5048,WP_032993212.1
5049,WP_105645053.1
5050,WP_104677728.1
5051,WP_105504082.1
5052,PZU21254.1
5053,HAU5491328.1
5054,WP_104658065.1
5055,WP_069684164.1
5056,WP_283007021.1
5057,WP_007867537.1
5058,WP_007697518.1
5059,WP_282983010.1
5060,EGT5710308.1
5061,WP_105606677.1
5062,WP_054625192.1
5063,WP_282985450.1
5064,EKM7175108.1
5065,WP_105577305.1
5066,WP_249894390.1
5067,EKK7713391.1
5068,WP_262271403.1
5069,WP_105667227.1
5070,WP_007890890.1
5071,WP_084997518.1
5072,WP_262297873.1
5073,WP_275876914.1
5074,WP_105634271.1
5075,WP_284017105.1
5076,WP_148737497.1
5077,EKP4477737.1
5078,WP_105720098.1
5079,WP_007714560.1
5080,WP_105651363.1
5081,WP_105517226.1
5082,WP_161592872.1
5083,WP_105631355.1
5084,WP_007748607.1
5085,EKF2279033.1
5086,WP_227307260.1
5087,WP_275886145.1
5088,WP_105648751.1
5089,WP_105639779.1
5090,WP_281316503.1
5091,WP_108069352.1
5092,WP_225410169.1
5093,WP_075009532.1
5094,WP_272140926.1
5095,WP_073558423.1
5096,KYF81685.1
5097,WP_093525972.1
5098,EEF57782.1
5099,WP_149401639.1
5100,WP_050057631.1
5101,WP_133659067.1
5102,WP_277233204.1
5103,WP_243508654.1
5104,WP_208175195.1
5105,HBC42815.1
5106,MCU0551711.1
5107,MCZ0899491.1
5108,MCY7284581.1
5109,WP_143437499.1
5110,WP_296368764.1
5111,MDI9405148.1
5112,WP_254935946.1
5113,MCU0527925.1
5114,MCS5704589.1
5115,WP_255144027.1
5116,NET49749.1
5117,HAG85715.1
5118,MCS7148475.1
5119,WP_068378726.1
5120,WP_041619950.1
5121,WP_287455048.1
5122,WP_193881495.1
5123,WP_268242161.1
5124,WP_169220327.1
5125,HAX89614.1
5126,CDN11425.1
5127,MBF2065871.1
5128,WP_204136883.1
5129,HIK11890.1
5130,WP_293141455.1
5131,NEQ43968.1
5132,MDJ0703268.1
5133,XP_013615230.1
5134,CDY07809.1
5135,CDY29207.1
5136,CAI9297739.1
5137,GFB07782.1
5138,XP_024967312.1
5139,KAJ0610895.1
5140,XP_016464900.1
5141,XP_055825837.1
5142,MQL69650.1
5143,XP_020265390.1
5144,URE30729.1
5145,XP_038980851.1
5146,KAJ8443221.1
5147,XP_027186023.1
5148,KAJ1436049.1
5149,RVX04906.1
5150,GFP95555.1
5151,BAE99083.1
5152,KAF5183111.1
5153,CAI9214586.1
5154,XP_045827950.1
5155,CAD1831325.1
5156,KAI3742285.1
5157,KAI3742286.1
5158,PQQ03124.1
5159,PKI74388.1
5160,GMI79026.1
5161,ESR43772.1
5162,KAH9675320.1
5163,KAH9675319.1
5164,MBA0564607.1
5165,MBA0594142.1
5166,KJB54602.1
5167,EFJ35590.1
5168,EFJ24124.1
5169,XP_024524238.1
5170,XP_024535527.1
5171,OIT24086.1
5172,KAG6595425.1
5173,KAG6595426.1
5174,KAI3772596.1
5175,KAF6158770.1
5176,KDO53626.1
5177,KAH0780338.1
5178,XP_024032120.1
5179,KHN19831.1
5180,RZC25217.1
5181,MBA0657851.1
5182,XP_047256935.1
5183,KAH0723318.1
5184,KAH0909302.1
5185,CAF1851895.1
5186,XP_017227303.1
5187,KZM81981.1
5188,XP_017224403.1
5189,GKV17312.1
5190,GKV17317.1
5191,KAF2620755.1
5192,CAH2051205.1
5193,ABE65821.1
5194,OIT37114.1
5195,KAH9621644.1
5196,KAF5771693.1
5197,GKV39813.1
5198,GKV47274.1
5199,XP_024357149.1
5200,XP_057852797.1
5201,XP_034223353.1
5202,KAB1222179.1
5203,KAB1222204.1
5204,CAI0543067.1
5205,CAI0543065.1
5206,KAB2631127.1
5207,KAH0705692.1
5208,KAJ6425997.1
5209,XP_048595617.1
5210,EOA35802.1
5211,XP_006302904.2
5212,KAH6772208.1
5213,KAH6828665.1
5214,KAH6794532.1
5215,PIN25647.1
5216,KAE8098742.1
5217,KAE8098744.1
5218,KAH6819327.1
5219,KAH6772207.1
5220,KAH6794533.1
5221,KAH6819326.1
5222,KAH6828663.1
5223,KAH6794530.1
5224,XP_047333433.1
5225,XP_047333245.1
5226,XP_047333472.1
5227,KAJ3672281.1
5228,XP_011075456.2
5229,XP_049355650.1
5230,XP_047333466.1
5231,XP_051138674.1
5232,KAI9121100.1
5233,KAI4381562.1
5234,XP_031488403.1
5235,KAF3782532.1
5236,KMZ68969.1
5237,XP_017232766.1
5238,KAF8654577.1
5239,XP_039854628.1
5240,XP_043612105.1
5241,KAJ0575284.1
5242,KAJ8760136.1
5243,KAI3742287.1
5244,KAJ8770403.1
5245,CAA2633191.1
5246,KAJ4799585.1
5247,KAJ4747400.1
5248,KAJ4747399.1
5249,KAJ4811206.1
5250,KAJ1702531.1
5251,KAJ3707384.1
5252,KAJ4758755.1
5253,CAA7409495.1
5254,XP_002517315.1
5255,XP_017254620.1
5256,CAI9294706.1
5257,CAH1450319.1
5258,XP_023747547.2
5259,XP_017224167.1
5260,OIT26624.1
5261,XP_020153590.1
5262,XP_044334851.1
5263,XP_048553589.1
5264,XP_037474844.1
5265,XP_049400600.1
5266,XP_018622076.1
5267,XP_009763295.1
5268,XP_049402842.1
5269,XP_049363774.1
5270,XP_009781380.1
5271,PHT98015.1
5272,MCD7463343.1
5273,KAJ4971085.1
5274,PWA39954.1
5275,KAG5569066.1
5276,XP_016552215.1
5277,KAF3634368.1
5278,PHT32483.1
5279,XP_031489109.1
5280,XP_047944629.1
5281,XP_043692248.1
5282,XP_042513976.1
5283,XP_043691474.1
5284,XP_042513651.1
5285,XP_043692247.1
5286,KAG5574092.1
5287,KAI3806612.1
5288,KAI3760675.1
5289,XP_055822339.1
5290,KAH0707628.1
5291,XP_049355651.1
5292,XP_006367949.2
5293,MCD9558465.1
5294,TMW82969.1
5295,KAG5572872.1
5296,XP_015061791.1
5297,KAH0707629.1
5298,XP_049397559.1
5299,XP_019254450.1
5300,XP_019254448.1
5301,KAJ9544059.1
5302,XP_017254349.1
5303,XP_051135630.1
5304,XP_051135629.1
5305,GEU44346.1
5306,GEY89494.1
5307,XP_021971578.1
5308,XP_043609760.1
5309,XP_024974656.1
5310,XP_031389710.1
5311,TMW97535.1
5312,XP_004248275.1
5313,XP_049356572.1
5314,KAG9156606.1
5315,KAG9156605.1
5316,XP_043691475.1
5317,XP_042481556.1
5318,KAJ4970525.1
5319,KAJ4971113.1
5320,ONH94804.1
5321,KAJ3696606.1
5322,KAJ1699902.1
5323,KAJ4765028.1
5324,KAJ4753100.1
5325,KAJ4793910.1
5326,KAJ3696608.1
5327,KAJ4817745.1
5328,XP_042433892.1
5329,KAG1327222.1
5330,KAJ3694674.1
5331,RWV92410.1
5332,KAI3667287.1
5333,XP_024975370.1
5334,KAI3682328.1
5335,XP_009594209.1
5336,XP_009599584.1
5337,KAJ8539864.1
5338,XP_009631506.1
5339,XP_009763303.1
5340,KAJ4978798.1
5341,XP_019067124.1
5342,XP_049399327.1
5343,XP_049355661.1
5344,XP_015170729.1
5345,KAH0708756.1
5346,XP_049399326.1
5347,KAH0708758.1
5348,XP_049355648.1
5349,KAJ8560921.1
5350,KAJ8560919.1
5351,KAH0705582.1
5352,KAG5572871.1
5353,KAG5572834.1
5354,XP_010314314.1
5355,XP_049397556.1
5356,TMW82970.1
5357,XP_015061790.1
5358,XP_004252379.1
5359,XP_049370338.1
5360,XP_015059887.1
5361,TMW92039.1
5362,XP_049397558.1
5363,XP_055820031.1
5364,XP_055833315.1
5365,XP_016549820.1
5366,PHT32965.1
5367,XP_049363767.1
5368,XP_049355662.1
5369,XP_049399325.1
5370,XP_027769286.1
5371,TMW86368.1
5372,XP_006366156.2
5373,XP_019067123.1
5374,XP_057770431.1
5375,XP_041996621.1
5376,XP_047940213.1
5377,XP_047944250.1
5378,XP_039000105.1
5379,DAD29985.1
5380,XP_049369658.1
5381,XP_015159580.1
5382,KAH0747506.1
5383,XP_049401635.1
5384,XP_049401632.1
5385,KAH0723320.1
5386,KAH0721038.1
5387,MCE3049338.1
5388,KAH0721039.1
5389,KAI9121319.1
5390,XP_054800164.1
5391,XP_028761456.1
5392,XP_039029145.1
5393,XP_010265875.1
5394,XP_039063743.1
5395,XP_022004762.1
5396,RID65193.1
5397,KAF3576261.1
5398,KAF8413550.1
5399,KAF3556605.1
5400,EOA32531.1
5401,RID65194.1
5402,CAG7905607.1
5403,XP_010431696.1
5404,XP_019085674.1
5405,XP_010112844.1
5406,GMN57702.1
5407,RZC89679.1
5408,KAI3902737.1
5409,XP_011079074.1
5410,XP_042462414.1
5411,XP_047939697.1
5412,XP_041996412.1
5413,GFP92881.1
5414,XP_057785528.1
5415,XP_009391879.1
5416,KAJ8500232.1
5417,KAJ8500233.1
5418,WJX25631.1
5419,TMX00726.1
5420,XP_004252844.1
5421,XP_015059247.1
5422,XP_049346040.1
5423,XP_006367340.1
5424,KAH0764667.1
5425,KAH0733719.1
5426,XP_016549987.1
5427,PHT98019.1
5428,PHT33218.1
5429,MCD9561539.1
5430,XP_049402845.1
5431,PHT33212.1
5432,KAJ9548225.1
5433,MCD6152755.1
5434,HBY97151.1
5435,MCZ7567109.1
5436,WP_226615021.1
5437,WP_294350859.1
5438,WP_147736278.1
5439,WP_210788770.1
5440,VFS55749.1
5441,XP_037930233.1
5442,WP_294104017.1
5443,WP_261831696.1
5444,WP_047779715.1
5445,WP_225820493.1
5446,WP_272518182.1
5447,WP_027275691.1
5448,MCH3918094.1
5449,WP_198641698.1
5450,WP_272539361.1
5451,WP_275076411.1
5452,EJD6538512.1
5453,WP_296522539.1
5454,WP_273838401.1
5455,WP_219244772.1
5456,WP_111739051.1
5457,WP_029095704.1
5458,WP_206083349.1
5459,WP_048605961.1
5460,EKX8780579.1
5461,WP_181682973.1
5462,WP_028330332.1
5463,WP_071548652.1
5464,WP_297278338.1
5465,WP_082447551.1
5466,ETA81923.1
5467,WP_013243591.1
5468,WP_157151566.1
5469,WP_295296709.1
5470,WP_287603951.1
5471,MDI6871788.1
5472,MQY69304.1
5473,TET94335.1
5474,UCG94184.1
5475,MCK4617574.1
5476,RLE13294.1
5477,HDN84807.1
5478,MCD6257935.1
5479,WP_161713618.1
5480,WP_094981519.1
5481,WP_221035297.1
5482,WP_021806999.1
5483,WP_206917925.1
5484,WP_025122718.1
5485,WP_166733505.1
5486,WP_071681529.1
5487,WP_223664731.1
5488,WP_261156406.1
5489,WP_021180753.1
5490,WP_024483760.1
5491,WP_223500453.1
5492,WP_223498538.1
5493,WP_115159778.1
5494,WP_261262130.1
5495,WP_260513057.1
5496,WP_179252886.1
5497,WP_024527956.1
5498,WP_179244376.1
5499,WP_161739204.1
5500,WP_261459224.1
5501,WP_065684773.1
5502,WP_211135806.1
5503,WP_206922489.1
5504,WP_146821383.1
5505,WP_268004465.1
5506,WP_021296881.1
5507,WP_275473283.1
5508,WP_090397422.1
5509,WP_223516561.1
5510,MBN0714710.1
5511,WP_058202604.1
5512,MBG3966554.1
5513,WP_205478377.1
5514,WP_008046237.1
5515,WP_110681599.1
5516,WP_109932178.1
5517,HBN8433291.1
5518,WP_032857693.1
5519,WP_058414913.1
5520,WP_008023262.1
5521,WP_186678408.1
5522,WP_078739050.1
5523,WP_092393985.1
5524,WP_085666891.1
5525,WP_061340873.1
5526,WP_238961533.1
5527,WP_260494808.1
5528,WP_144922914.1
5529,WP_289634650.1
5530,WP_124388153.1
5531,WP_047699603.1
5532,WP_201061907.1
5533,WP_013694193.1
5534,WP_099489652.1
5535,WP_029295554.1
5536,WP_008026988.1
5537,WP_015093528.1
5538,WP_169909814.1
5539,WP_143498562.1
5540,WP_248743936.1
5541,WP_092475783.1
5542,WP_269131991.1
5543,WP_060740699.1
5544,WP_186638134.1
5545,WP_212799039.1
5546,WP_017675014.1
5547,WP_003205439.1
5548,WP_200647699.1
5549,WP_267807220.1
5550,WP_053213317.1
5551,WP_014340139.1
5552,WP_169843126.1
5553,WP_083366984.1
5554,WP_253554442.1
5555,PNB72061.1
5556,WP_150805906.1
5557,WP_175361724.1
5558,MCQ4265690.1
5559,WP_124337685.1
5560,WP_207847718.1
5561,MCQ4232706.1
5562,WP_226305269.1
5563,WP_072344360.1
5564,WP_265066109.1
5565,WP_259763443.1
5566,WP_260368096.1
5567,WP_110966401.1
5568,WP_057710533.1
5569,WP_283182995.1
5570,WP_230925125.1
5571,WP_092462884.1
5572,WP_283189920.1
5573,WP_184679636.1
5574,WP_136665758.1
5575,WP_122488860.1
5576,WP_134421977.1
5577,MDN5508624.1
5578,TXI27753.1
5579,WP_007929802.1
5580,WP_105340112.1
5581,WP_033057881.1
5582,WP_003456545.1
5583,WP_150815618.1
5584,WP_166496205.1
5585,WP_150718056.1
5586,PTT96146.1
5587,URM28158.1
5588,WP_009047034.1
5589,WP_289714836.1
5590,OZB24602.1
5591,WP_177014787.1
5592,WP_223415046.1
5593,WP_131061162.1
5594,WP_272604667.1
5595,WP_124433978.1
5596,WP_122597973.1
5597,WP_056845964.1
5598,WP_124359772.1
5599,WP_177002069.1
5600,WP_106736663.1
5601,WP_103401815.1
5602,WP_090251709.1
5603,WP_074873833.1
5604,WP_053117204.1
5605,WP_115127443.1
5606,WP_150654420.1
5607,WP_008054417.1
5608,WP_111454333.1
5609,WP_099602204.1
5610,WP_150658830.1
5611,WP_028681676.1
5612,WP_192410173.1
5613,WP_008150671.1
5614,WP_064387970.1
5615,WP_046052916.1
5616,WP_145164293.1
5617,WP_259499481.1
5618,WP_143486719.1
5619,WP_213027588.1
5620,WP_198818023.1
5621,WP_248765216.1
5622,WP_140893813.1
5623,MDB5981543.1
5624,WP_192417352.1
5625,WP_101209632.1
5626,WP_137201635.1
5627,WP_078834160.1
5628,WP_003221758.1
5629,WP_121732949.1
5630,WP_300630467.1
5631,WP_043046786.1
5632,MBU1329314.1
5633,WP_124364350.1
5634,WP_032895355.1
5635,WP_223025184.1
5636,RBL71791.1
5637,WP_096143357.1
5638,WP_034128734.1
5639,WP_065885069.1
5640,WP_101336863.1
5641,WP_154996671.1
5642,WP_017135080.1
5643,WP_154977211.1
5644,WP_124430467.1
5645,WP_096819060.1
5646,WP_053277498.1
5647,WP_041073959.1
5648,WP_274301509.1
5649,WP_060754375.1
5650,WP_123727798.1
5651,WP_221809479.1
5652,WP_215377993.1
5653,WP_150604378.1
5654,WP_154743670.1
5655,WP_120731680.1
5656,WP_187676820.1
5657,WP_123375741.1
5658,WP_192309791.1
5659,WP_025211897.1
5660,WP_274305563.1
5661,WP_073521865.1
5662,WP_127651114.1
5663,WP_150792366.1
5664,MBU0807925.1
5665,AZP70830.1
5666,WP_169376130.1
5667,WP_160013528.1
5668,WP_192563562.1
5669,WP_065925987.1
5670,QUW67614.1
5671,WP_123342736.1
5672,WP_034115934.1
5673,WP_268193189.1
5674,WP_219268985.1
5675,WP_057958331.1
5676,WP_142014682.1
5677,MBH2033160.1
5678,WP_177121282.1
5679,WP_247290716.1
5680,WP_095633315.1
5681,WP_016701727.1
5682,WP_047299796.1
5683,WP_053132057.1
5684,WP_259194532.1
5685,WP_187670063.1
5686,WP_064364445.1
5687,WP_025806458.1
5688,WP_198832239.1
5689,WP_123426702.1
5690,WP_124368305.1
5691,WP_016965843.1
5692,WP_090502954.1
5693,WP_034154515.1
5694,WP_033896207.1
5695,WP_125970675.1
5696,WP_122811851.1
5697,WP_258640503.1
5698,WP_123534170.1
5699,WP_105697904.1
5700,WP_100846213.1
5701,WP_159959775.1
5702,WP_289534291.1
5703,WP_271409093.1
5704,WP_198762553.1
5705,WP_064454085.1
5706,WP_154952007.1
5707,WP_094949372.1
5708,WP_253127174.1
5709,WP_264147868.1
5710,WP_095190898.1
5711,WP_078826006.1
5712,WP_057703954.1
5713,WP_178923652.1
5714,WP_253165041.1
5715,WP_271658965.1
5716,WP_107330440.1
5717,MBU2255081.1
5718,WP_150705966.1
5719,WP_044268345.1
5720,WP_201227918.1
5721,WP_095144957.1
5722,WP_064679674.1
5723,WP_161905527.1
5724,WP_248129138.1
5725,WP_166217659.1
5726,WP_150650112.1
5727,WP_063324432.1
5728,WP_221729998.1
5729,WP_166588725.1
5730,WP_150580482.1
5731,WP_145015054.1
5732,WP_149411706.1
5733,WP_244385100.1
5734,MBA5982098.1
5735,WP_028617890.1
5736,WP_176996966.1
5737,WP_122837549.1
5738,WP_086793807.1
5739,WP_282316609.1
5740,WP_092273123.1
5741,OAE11717.1
5742,MBN2991078.1
5743,WP_124401862.1
5744,WP_102356110.1
5745,WP_227234483.1
5746,WP_058437509.1
5747,WP_025166677.1
5748,WP_277760622.1
5749,WP_177109991.1
5750,WP_102619459.1
5751,WP_095139541.1
5752,WP_099758023.1
5753,WP_286841485.1
5754,BAO60343.1
5755,WP_076949931.1
5756,WP_160488517.1
5757,WP_219273863.1
5758,WP_047284160.1
5759,WP_032879553.1
5760,WP_180698244.1
5761,WP_093412005.1
5762,WP_017253997.1
5763,WP_258611481.1
5764,WP_057013136.1
5765,WP_122595111.1
5766,WP_212549698.1
5767,WP_045061411.1
5768,WP_231809108.1
5769,WP_134785457.1
5770,WP_177070811.1
5771,WP_247267894.1
5772,WP_047291775.1
5773,WP_150596535.1
5774,WP_090434229.1
5775,WP_274088780.1
5776,WP_078050142.1
5777,WP_086944712.1
5778,WP_011059315.1
5779,WP_007914227.1
5780,RMO60123.1
5781,WP_095169390.1
5782,WP_282375155.1
5783,AVX87640.1
5784,WP_010486413.1
5785,WP_134174656.1
5786,WP_064055178.1
5787,WP_078734608.1
5788,WP_137971315.1
5789,WP_137219277.1
5790,WP_141607262.1
5791,WP_069562309.1
5792,WP_175555321.1
5793,WP_257357022.1
5794,WP_177047264.1
5795,WP_186625405.1
5796,WP_253499118.1
5797,WP_177083339.1
5798,WP_301152963.1
5799,WP_262111598.1
5800,WP_108524584.1
5801,WP_160055933.1
5802,WP_087517934.1
5803,WP_090368613.1
5804,WP_210702581.1
5805,WP_150691877.1
5806,WP_115147443.1
5807,WP_175375979.1
5808,WP_205491693.1
5809,WP_169387114.1
5810,WP_150640597.1
5811,WP_165676798.1
5812,WP_105755082.1
5813,WP_210554532.1
5814,WP_010176975.1
5815,WP_217864328.1
5816,WP_123451764.1
5817,WP_210558913.1
5818,WP_201141012.1
5819,WP_239778753.1
5820,WP_095112658.1
5821,WP_047597794.1
5822,WP_038357566.1
5823,WP_121757292.1
5824,WP_083356816.1
5825,WP_169868788.1
5826,WP_074847598.1
5827,WP_169875647.1
5828,WP_042607658.1
5829,WP_021217018.1
5830,WP_010566251.1
5831,WP_068932146.1
5832,WP_258343771.1
5833,MBA4271832.1
5834,WP_194933385.1
5835,WP_057007321.1
5836,WP_169884488.1
5837,WP_049711581.1
5838,WP_027607631.1
5839,WP_093530780.1
5840,WP_122725575.1
5841,WP_187516551.1
5842,WP_058426770.1
5843,WP_071489196.1
5844,WP_010206449.1
5845,WP_236412069.1
5846,WP_025131947.1
5847,WP_028624222.1
5848,WP_135309700.1
5849,WP_217830921.1
5850,WP_021492147.1
5851,WP_231423437.1
5852,WP_008084967.1
5853,WP_092359299.1
5854,WP_102879066.1
5855,WP_212615341.1
5856,WP_285417676.1
5857,WP_087695188.1
5858,WP_273527537.1
5859,WP_088424040.1
5860,WP_279803308.1
5861,WP_123464741.1
5862,WP_218819606.1
5863,WP_015885823.1
5864,WP_102900663.1
5865,WP_090447826.1
5866,WP_064119400.1
5867,WP_185710355.1
5868,WP_126360286.1
5869,WP_003212814.1
5870,WP_034109305.1
5871,WP_122881967.1
5872,WP_063033088.1
5873,BCT31445.1
5874,WP_065890031.1
5875,WP_226476666.1
5876,WP_123337091.1
5877,WP_073473736.1
5878,WP_141127720.1
5879,WP_076017726.1
5880,WP_017847774.1
5881,WP_279905076.1
5882,WP_065615806.1
5883,WP_102861710.1
5884,WP_007968066.1
5885,WP_069563984.1
5886,WP_258678464.1
5887,WP_247397985.1
5888,WP_008438591.1
5889,OXS21803.1
5890,WP_129389280.1
5891,WP_003176019.1
5892,WP_186691215.1
5893,WP_236216817.1
5894,WP_003230819.1
5895,WP_042571626.1
5896,WP_016971072.1
5897,WP_093436080.1
5898,WP_177006507.1
5899,WP_053257925.1
5900,WP_044287858.1
5901,WP_287028482.1
5902,WP_276194809.1
5903,WP_122750881.1
5904,WP_242205213.1
5905,WP_060550293.1
5906,WP_101159275.1
5907,WP_282343713.1
5908,WP_065876563.1
5909,WP_106802654.1
5910,WP_263151132.1
5911,WP_034100526.1
5912,WP_122540976.1
5913,WP_181078758.1
5914,WP_090226931.1
5915,WP_167416603.1
5916,WP_110646377.1
5917,WP_285960832.1
5918,WP_213626198.1
5919,WP_065939020.1
5920,WP_233319821.1
5921,WP_042557707.1
5922,WP_209984701.1
5923,WP_077571170.1
5924,WP_286784446.1
5925,WP_285428754.1
5926,WP_130911337.1
5927,WP_256809540.1
5928,WP_213639044.1
5929,WP_133334767.1
5930,WP_025858064.1
5931,WP_122605997.1
5932,WP_253509315.1
5933,WP_136491965.1
5934,WP_015372936.1
5935,WP_125927127.1
5936,WP_220812795.1
5937,WP_227973707.1
5938,WP_252887336.1
5939,WP_258450478.1
5940,WP_111260043.1
5941,WP_060837581.1
5942,WP_122610812.1
5943,WP_017531107.1
5944,WP_017476032.1
5945,WP_201145856.1
5946,WP_122843163.1
5947,WP_243242904.1
5948,WP_186547223.1
5949,WP_093104623.1
5950,WP_092319700.1
5951,WP_160078977.1
5952,WP_282397778.1
5953,WP_265533658.1
5954,WP_134660229.1
5955,WP_186618716.1
5956,WP_065908512.1
5957,WP_024011644.1
5958,WP_056782986.1
5959,WP_103325001.1
5960,WP_185699174.1
5961,WP_090281817.1
5962,WP_159895780.1
5963,WP_186568114.1
5964,WP_206415476.1
5965,WP_068584108.1
5966,WP_122720229.1
5967,WP_139053832.1
5968,WP_123715947.1
5969,WP_053134189.1
5970,WP_022642369.1
5971,WP_253398913.1
5972,WP_041478004.1
5973,WP_095180393.1
5974,WP_203420790.1
5975,WP_161755506.1
5976,WP_129999909.1
5977,WP_039759312.1
5978,WP_161777830.1
5979,WP_095107875.1
5980,WP_095601266.1
5981,WP_258446051.1
5982,WP_166365411.1
5983,WP_084335644.1
5984,WP_186532754.1
5985,WP_133216745.1
5986,WP_042122876.1
5987,WP_274072054.1
5988,WP_273909378.1
5989,WP_110969656.1
5990,WP_262128135.1
5991,WP_175652069.1
5992,WP_045188180.1
5993,WP_095154462.1
5994,WP_274295398.1
5995,RMP09920.1
5996,WP_200626870.1
5997,WP_166568520.1
5998,WP_182835220.1
5999,WP_160494171.1
6000,MBP8171569.1
6001,WP_116549037.1
6002,WP_286902240.1
6003,WP_104571952.1
6004,WP_123752865.1
6005,WP_054914880.1
6006,WP_254996715.1
6007,WP_279899520.1
6008,WP_043860420.1
6009,WP_064302391.1
6010,WP_196932561.1
6011,WP_285861998.1
6012,VVM70517.1
6013,WP_301840794.1
6014,WP_095162478.1
6015,WP_038999613.1
6016,WP_107023673.1
6017,WP_128322694.1
6018,WP_197875721.1
6019,WP_115088686.1
6020,WP_191833620.1
6021,WP_157194139.1
6022,WP_038614632.1
6023,WP_153784895.1
6024,WP_232882134.1
6025,WP_279845192.1
6026,WP_217841815.1
6027,WP_200141105.1
6028,WP_217887756.1
6029,CAI3809573.1
6030,GLO07549.1
6031,OII56739.1
6032,WP_060478535.1
6033,WP_186477432.1
6034,WP_167271298.1
6035,WP_167065796.1
6036,WP_138219754.1
6037,WP_110700627.1
6038,WP_264236410.1
6039,WP_012312743.1
6040,KHL75511.1
6041,WP_196914259.1
6042,WP_176515656.1
6043,WP_174142300.1
6044,WP_237860158.1
6045,WP_054899505.1
6046,WP_115273584.1
6047,WP_046784733.1
6048,WP_241806564.1
6049,WP_204919746.1
6050,WP_281870313.1
6051,WP_267820983.1
6052,WP_133975493.1
6053,SPO57444.1
6054,WP_227789467.1
6055,WP_244132584.1
6056,WP_230469159.1
6057,GMI79027.1
6058,KAJ0808972.1
6059,RZC43440.1
6060,CAH2057550.1
6061,KAF2545994.1
6062,KAG4982903.1
6063,KAJ9548899.1
6064,KAF3584025.1
6065,XP_040367429.1
6066,PRQ20519.1
6067,AXY96755.1
6068,XP_010265876.1
6069,OVA11601.1
6070,RVX04928.1
6071,KAE9590162.1
6072,KYP57178.1
6073,KAE9590164.1
6074,PKI74389.1
6075,URD73748.1
6076,RWW65123.1
6077,KAI7739326.1
6078,KAJ0791837.1
6079,KAJ0807489.1
6080,XP_042481695.1
6081,KAG2269371.1
6082,KAJ0475427.1
6083,CAH2051204.1
6084,RID65197.1
6085,EOA35954.1
6086,XP_015160089.1
6087,XP_023520727.1
6088,CAD1831328.1
6089,OAY66278.1
6090,CAH8350109.1
6091,PHT24917.1
6092,XP_019254367.1
6093,XP_047174123.1
6094,XP_020686604.1
6095,KAJ8570316.1
6096,KAH9738882.1
6097,KAH9675331.1
6098,KAJ0856526.1
6099,KAJ0475426.1
6100,KAJ0791834.1
6101,KAJ0621758.1
6102,KAJ0610905.1
6103,KAJ0947104.1
6104,KAJ0808979.1
6105,CAI9287622.1
6106,CAA0832864.1
6107,EOA35925.1
6108,XP_006303027.2
6109,KAI3772594.1
6110,XP_049402841.1
6111,XP_009769812.1
6112,XP_016447614.1
6113,XP_019242126.1
6114,KAI5317511.1
6115,CAI9294708.1
6116,KAF9621370.1
6117,GEY47878.1
6118,KAG5572896.1
6119,PPR82805.1
6120,KAH7854763.1
6121,KAA0025891.1
6122,TYK27821.1
6123,KAG8087963.1
6124,XP_021717388.1
6125,RWW76902.1
6126,RZR97140.1
6127,GKV17320.1
6128,KAJ0573407.1
6129,KAI7758026.1
6130,KAJ0780148.1
6131,VAI86116.1
6132,VAI73972.1
6133,EMS63120.1
6134,WP_125660707.1
6135,WP_267863941.1
6136,WP_193909981.1
6137,MCU1700802.1
6138,MCW2589612.1
6139,WP_212101402.1
6140,WP_079573689.1
6141,WP_128913703.1
6142,WP_003609283.1
6143,WP_217976363.1
6144,WP_264652256.1
6145,WP_075806362.1
6146,WP_028942713.1
6147,WP_274117873.1
6148,WP_203482142.1
6149,WP_136478091.1
6150,WP_158464902.1
